Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >E9DPG6|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	7	278	8.89253e-108	313.2	PRK00281	PRK00281	 - 	cl00858
Q#2 - >AAM76670.1|FEATURES|CARD|aminoglycoside|ANT(4')-IIb	specific	143393	4	58	5.32021e-06	43.9447	cd05403	NT_KNTase_like	C	cl11966
Q#3 - >A0A0U1KWT6|FEATURES|UNIPROT|bacitracin|uppP	specific	441571	5	265	1.94174e-97	286.168	COG1968	UppP	 - 	cl42187
Q#4 - >A0A0A0Z0E9|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	3	272	1.88996e-119	342.475	PRK00281	PRK00281	 - 	cl00858
Q#5 - >A0A095UDB2|FEATURES|UNIPROT|polymyxin|arnC	superfamily	182669	7	314	0	584.006	cl32562	PRK10714 superfamily	 - 	 - 
Q#6 - >ABG69059|FEATURES|ARDB|multidrug|mdtG	specific	182127	1	408	0	750.211	PRK09874	PRK09874	 - 	cl27912
Q#7 - >CAE55180|FEATURES|ARDB|beta_lactam|CMY-53	specific	236894	1	381	0	635.008	PRK11289	ampC	 - 	cl21491
Q#8 - >J2GE42|FEATURES|UNIPROT|bacitracin|uppP	specific	441571	1	268	1.39657e-102	299.265	COG1968	UppP	 - 	cl42187
Q#9 - >A0A0W0KQ11|FEATURES|UNIPROT|macrolide-lincosamide-streptogramin|macB	superfamily	182528	4	653	0	901.784	cl32530	PRK10535 superfamily	 - 	 - 
Q#10 - >A0A0C5E4Z3|FEATURES|UNIPROT|polymyxin|arnA	specific	236156	4	658	0	1445.56	PRK08125	PRK08125	 - 	cl35644
Q#11 - >A0A127SSP7|FEATURES|UNIPROT|beta_lactam|CblA-1	specific	441934	1	273	1.70597e-71	220.925	COG2367	PenP	 - 	cl28588
Q#12 - >B2ZTR4|FEATURES|UNIPROT|beta_lactam|ADC-2	specific	236894	1	346	0	551.42	PRK11289	ampC	 - 	cl21491
