Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >A0A0G1GUF0|FEATURES|UNIPROT|bacitracin|uppP	specific	441571	1	256	1.05713e-85	256.122	COG1968	UppP	 - 	cl42187
Q#2 - >H3RK89|FEATURES|UNIPROT|polymyxin|arnC	specific	182669	6	326	0	634.082	PRK10714	PRK10714	 - 	cl32562
Q#3 - >A0A085GK03|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	3	260	6.0583e-118	338.623	PRK00281	PRK00281	 - 	cl00858
Q#4 - >A0A0P9XQI1|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	2	266	5.02726e-118	339.009	PRK00281	PRK00281	 - 	cl00858
Q#5 - >B2CD53|FEATURES|UNIPROT|beta_lactam|blaTEM	superfamily	473882	1	155	5.58886e-120	339.522	cl21491	Transpeptidase superfamily	NC	 - 
Q#6 - >E2D103|FEATURES|UNIPROT|aminoglycoside|aadA2	specific	184296	1	262	0	498.396	PRK13746	PRK13746	 - 	cl32927
Q#7 - >CCP46182.1|FEATURES|CARD|quinolone|mfpA	specific	411082	1	183	6.46771e-127	354.368	NF000349	mfpA_AE000516.2	 - 	cl41257
Q#8 - >YP_403947|FEATURES|ARDB|macrolide-lincosamide-streptogramin|MacB	specific	182528	1	650	0	1260.02	PRK10535	PRK10535	 - 	cl32530
Q#9 - >YP_002090520|FEATURES|ARDB|multidrug|mexD	superfamily	481531	1	1041	0	1243.46	cl47191	ACR_tran superfamily	 - 	 - 
Q#10 - >A8T2U3|FEATURES|UNIPROT|beta_lactam|AND4_10224	specific	441934	3	281	6.7608e-81	245.193	COG2367	PenP	 - 	cl28588
Q#11 - >I6ZI86|FEATURES|UNIPROT|beta_lactam|CTX-M	specific	441934	8	273	2.96781e-87	260.986	COG2367	PenP	 - 	cl28588
Q#12 - >M6C6Z7|FEATURES|UNIPROT|bacitracin|uppP	specific	441571	3	276	8.13522e-81	244.566	COG1968	UppP	 - 	cl42187
Q#13 - >NP_978424|FEATURES|ARDB|fosfomycin|FosB	superfamily	469426	1	138	5.1043e-101	285.178	cl49508	fosBx1_fam superfamily	 - 	 - 
