Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >CAA30695.1|FEATURES|CARD|chloramphenicol|catIII	superfamily	445639	7	205	1.252e-105	302.43	cl02008	2-oxoacid_dh superfamily	 - 	 - 
Q#2 - >A0A0A3IEW6|FEATURES|UNIPROT|fosfomycin|fosB	specific	179740	2	140	2.58956e-95	270.664	PRK04101	PRK04101	 - 	cl14632
Q#3 - >AGE45504.1|FEATURES|CARD|beta_lactam|CMY-69	specific	236894	1	381	0	634.623	PRK11289	ampC	 - 	cl21491
Q#4 - >A0A022PEY0|FEATURES|UNIPROT|beta_lactam|BA1DRAFT_04049	specific	236894	1	385	0	618.445	PRK11289	ampC	 - 	cl21491
Q#5 - >B2PUM5|FEATURES|UNIPROT|beta_lactam|PROSTU_00250	specific	236894	4	383	0	515.982	PRK11289	ampC	 - 	cl21491
Q#6 - >D1LFJ3|FEATURES|UNIPROT|beta_lactam|blaCTX-M	superfamily	473882	13	141	7.22043e-47	153.085	cl21491	Transpeptidase superfamily	NC	 - 
Q#7 - >B2CD75|FEATURES|UNIPROT|beta_lactam|blaSHV	superfamily	473882	1	117	7.34537e-78	230.895	cl21491	Transpeptidase superfamily	N	 - 
Q#8 - >M9UY78|FEATURES|UNIPROT|beta_lactam|blaCTX	specific	441934	19	219	1.17054e-65	203.976	COG2367	PenP	C	cl28588
Q#9 - >AHC31001.1|FEATURES|CARD|beta_lactam|OXA-246	specific	442014	1	264	1.15383e-115	332.617	COG2602	YbxI	 - 	cl43695
Q#10 - >Q2FC44|FEATURES|UNIPROT|beta_lactam|blaZ	specific	441934	7	265	1.31002e-68	213.221	COG2367	PenP	 - 	cl28588
Q#11 - >A0A0B5P923|FEATURES|UNIPROT|bacitracin|uppP1	specific	234712	1	265	6.49939e-106	307.808	PRK00281	PRK00281	 - 	cl00858
Q#12 - >A0A089LBH9|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	1	274	1.12673e-86	259.272	PRK00281	PRK00281	 - 	cl00858
Q#13 - >J7II96|FEATURES|UNIPROT|beta_lactam|BL2be_ctxm	specific	441934	14	291	6.68125e-91	271.001	COG2367	PenP	 - 	cl28588
Q#14 - >A0A0E1S996|FEATURES|UNIPROT|aminoglycoside|BURPS305_3406	superfamily	440222	24	150	9.889e-05	40.0367	cl42766	PhnO superfamily	 - 	 - 
Q#15 - >H8GKI9|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	3	263	1.14238e-120	345.557	PRK00281	PRK00281	 - 	cl00858
Q#16 - >CAA76542|FEATURES|ARDB|qa_compound|Qac	specific	441679	2	106	1.01628e-25	92.0833	COG2076	EmrE	 - 	cl43598
Q#17 - >A0A140J4L2|FEATURES|UNIPROT|beta_lactam|AXF37_08125	specific	442014	1	242	1.77479e-73	225.147	COG2602	YbxI	 - 	cl43695
Q#18 - >A0A0Q7P0I5|FEATURES|UNIPROT|aminoglycoside|ASD46_12665	specific	440222	30	141	3.51718e-17	72.7786	COG0454	PhnO	 - 	cl42766
