Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >R8YVX7|FEATURES|UNIPROT|beta_lactam|F929_03476	specific	236894	7	382	0	587.629	PRK11289	ampC	 - 	cl21491
Q#2 - >AAM48116|FEATURES|ARDB|beta_lactam|CfxA2	specific	441934	35	314	9.38045e-48	161.604	COG2367	PenP	 - 	cl28588
Q#3 - >A0A0P9UZG6|FEATURES|UNIPROT|polymyxin|arnA	specific	236156	4	662	0	1440.55	PRK08125	PRK08125	 - 	cl35644
Q#4 - >U6ZC39|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	3	273	3.1671e-113	326.682	PRK00281	PRK00281	 - 	cl00858
Q#5 - >A0A089MWI9|FEATURES|UNIPROT|beta_lactam|SHV-155	specific	185339	19	299	0	557.545	PRK15442	PRK15442	 - 	cl21491
Q#6 - >N1NJA9|FEATURES|UNIPROT|polymyxin|pbgP	specific	182669	2	326	0	663.357	PRK10714	PRK10714	 - 	cl32562
Q#7 - >A0A0W0WTN9|FEATURES|UNIPROT|beta_lactam|Lnau_0681	superfamily	442014	1	241	2.06929e-67	209.739	cl43695	YbxI superfamily	 - 	 - 
Q#8 - >AFH88134.1|FEATURES|CARD|beta_lactam|CTX-M-124	specific	441934	14	287	4.30972e-94	279.09	COG2367	PenP	 - 	cl28588
Q#9 - >A0A0K1ZMV0|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	2	286	3.81115e-123	352.491	PRK00281	PRK00281	 - 	cl00858
Q#10 - >A0A0G1X018|FEATURES|UNIPROT|bacitracin|uppP	specific	441571	1	254	2.67292e-86	257.278	COG1968	UppP	 - 	cl42187
Q#11 - >AAL09826|FEATURES|ARDB|tetracycline|tetW	specific	206731	5	241	6.24061e-141	409.704	cd04168	TetM_like	 - 	cl38936
Q#11 - >AAL09826|FEATURES|ARDB|tetracycline|tetW	superfamily	481252	1	616	1.40241e-116	363.117	cl46912	PRK13351 superfamily	 - 	 - 
Q#12 - >A0A0J6BPT4|FEATURES|UNIPROT|multidrug|cfr	specific	275225	2	342	0	695.322	TIGR04432	rSAM_Cfr	 - 	cl18962
