Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >ABP89888|FEATURES|ARDB|tetracycline|tetM	specific	206731	10	246	6.04111e-139	404.696	cd04168	TetM_like	 - 	cl38936
Q#1 - >ABP89888|FEATURES|ARDB|tetracycline|tetM	superfamily	481252	1	615	8.94074e-117	363.888	cl46912	PRK13351 superfamily	 - 	 - 
Q#2 - >A0A084J0M7|FEATURES|UNIPROT|beta_lactam|ER45_13820	superfamily	451500	46	247	3.67905e-115	328.86	cl23716	metallo-hydrolase-like_MBL-fold superfamily	 - 	 - 
Q#3 - >S1J323|FEATURES|UNIPROT|macrolide-lincosamide-streptogramin|macB	specific	182528	1	648	0	1353.24	PRK10535	PRK10535	 - 	cl32530
Q#4 - >N9LBM9|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	2	269	5.35914e-95	280.458	PRK00281	PRK00281	 - 	cl00858
Q#5 - >BAC00775|FEATURES|ARDB|multidrug|NorA	specific	340883	8	375	1.65515e-72	230.926	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#6 - >AAK38457|FEATURES|ARDB|quinolone|qacB	superfamily	184957	16	464	2.64282e-79	256.193	cl33053	PRK14995 superfamily	 - 	 - 
Q#7 - >A0A069XPM1|FEATURES|UNIPROT|macrolide-lincosamide-streptogramin|macB	specific	182528	1	648	0	1345.92	PRK10535	PRK10535	 - 	cl32530
Q#8 - >AAB05627|FEATURES|ARDB|glycopeptide|vanB	specific	234993	1	341	1.36087e-132	381.006	PRK01966	ddl	 - 	cl35171
Q#9 - >I6Z9I3|FEATURES|UNIPROT|beta_lactam|CTX-M	specific	441934	8	273	7.51906e-88	262.527	COG2367	PenP	 - 	cl28588
Q#10 - >AHE41344.1|FEATURES|CARD|quinolone|QnrS7	specific	440968	17	204	6.80219e-30	108.875	COG1357	YjbI	 - 	cl34238
Q#11 - >ZP_03834862|FEATURES|ARDB|beta_lactam|CFE-1	specific	236894	1	381	0	629.23	PRK11289	ampC	 - 	cl21491
Q#12 - >A0A086C2H6|FEATURES|UNIPROT|beta_lactam|ampC	specific	236894	7	388	0	635.779	PRK11289	ampC	 - 	cl21491
Q#13 - >A0A118E228|FEATURES|UNIPROT|beta_lactam|ampC	specific	236894	10	383	0	563.747	PRK11289	ampC	 - 	cl21491
Q#14 - >A0A0M1NUC3|FEATURES|UNIPROT|chloramphenicol|AM233_18735	superfamily	445639	5	205	1.95947e-86	253.895	cl02008	2-oxoacid_dh superfamily	 - 	 - 
Q#15 - >A0A0A0Q8L1|FEATURES|UNIPROT|beta_lactam|ACT-29	superfamily	480360	1	381	0	681.884	cl46020	ampC_Kaer superfamily	 - 	 - 
Q#16 - >A0A119Q4D9|FEATURES|UNIPROT|beta_lactam|ampC	specific	236894	1	386	0	641.557	PRK11289	ampC	 - 	cl21491
Q#17 - >K2PVD6|FEATURES|UNIPROT|bacitracin|uppP	specific	441571	1	254	2.19388e-99	290.79	COG1968	UppP	 - 	cl42187
Q#18 - >A0A0J1LG61|FEATURES|UNIPROT|macrolide-lincosamide-streptogramin|macB	specific	182528	1	648	0	1333.21	PRK10535	PRK10535	 - 	cl32530
Q#19 - >AEB98922.1|FEATURES|CARD|beta_lactam|OXA-196	specific	442014	6	274	2.37033e-110	319.52	COG2602	YbxI	 - 	cl43695
Q#20 - >AEM97672.1|FEATURES|CARD|beta_lactam|CMY-60	specific	236894	1	381	0	635.008	PRK11289	ampC	 - 	cl21491
Q#21 - >W0HQH8|FEATURES|UNIPROT|polymyxin|arnA	specific	236156	1	660	0	1471.75	PRK08125	PRK08125	 - 	cl35644
Q#22 - >A0A0G8EQ15|FEATURES|UNIPROT|beta_lactam|B4077_2467	specific	441934	26	306	2.82816e-97	287.95	COG2367	PenP	 - 	cl28588
Q#23 - >A0A0N9WQJ6|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	2	266	8.31611e-122	348.639	PRK00281	PRK00281	 - 	cl00858
Q#24 - >B0BL23|FEATURES|UNIPROT|aminoglycoside|aadA1	specific	184296	1	257	5.45306e-173	477.21	PRK13746	PRK13746	 - 	cl32927
