Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >A0A0M3RS84|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	7	262	6.36018e-68	211.122	PRK00281	PRK00281	 - 	cl00858
Q#2 - >ACB17400|FEATURES|ARDB|multidrug|MdfA	specific	185300	7	410	0	698.613	PRK15402	PRK15402	 - 	cl33139
Q#3 - >ABQ51091.1|FEATURES|CARD|beta_lactam|CMY-28	specific	236894	1	381	0	635.394	PRK11289	ampC	 - 	cl21491
Q#4 - >R5KCJ6|FEATURES|UNIPROT|bacitracin|uppP	specific	441571	1	271	3.76807e-106	308.895	COG1968	UppP	 - 	cl42187
Q#5 - >F1DI07|FEATURES|UNIPROT|beta_lactam|blaSHV	superfamily	473882	1	140	3.9689e-99	285.979	cl21491	Transpeptidase superfamily	C	 - 
Q#6 - >A0A098R9Q5|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	1	271	5.2556e-109	315.897	PRK00281	PRK00281	 - 	cl00858
Q#7 - >A0A0P8WY66|FEATURES|UNIPROT|beta_lactam|AN402_5201	specific	441934	57	312	1.57654e-96	286.409	COG2367	PenP	 - 	cl28588
Q#8 - >P85302|FEATURES|UNIPROT|beta_lactam|ampC	specific	236894	3	357	0	635.779	PRK11289	ampC	 - 	cl21491
Q#9 - >AAD03496.1|FEATURES|CARD|aminoglycoside|AAC(6')-Ix	specific	395465	14	132	4.22373e-19	77.1728	pfam00583	Acetyltransf_1	 - 	cl17182
Q#10 - >A0A0Q6FA22|FEATURES|UNIPROT|beta_lactam|ampC	specific	236894	22	383	0	508.278	PRK11289	ampC	 - 	cl21491
Q#11 - >ABN11268|FEATURES|ARDB|tetracycline|tetM	specific	206731	5	241	1.50559e-142	413.941	cd04168	TetM_like	 - 	cl38936
Q#11 - >ABN11268|FEATURES|ARDB|tetracycline|tetM	superfamily	481252	1	610	4.59033e-121	375.058	cl46912	PRK13351 superfamily	 - 	 - 
Q#12 - >A0A0M2DUJ7|FEATURES|UNIPROT|bacitracin|uppP	specific	234712	6	267	1.42063e-95	281.614	PRK00281	PRK00281	 - 	cl00858
