Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >gi:754951242:ref:WP_042307417.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1340.53	PRK10535	PRK10535	 - 	cl32530
Q#2 - >gi:585362801:ref:WP_024244391.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	451	0	778.737	PRK09465	tolC	 - 	cl30340
Q#3 - >gi:315940013:gb:ADU56217.1:|FEATURES|CTX-M-14|beta-lactam|CTX-M	specific	441934	17	291	1.99921e-92	274.853	COG2367	PenP	 - 	cl28588
Q#4 - >gi:445983931:ref:WP_000061786.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	490	6.98668e-85	270.783	cl33905	Uup superfamily	 - 	 - 
Q#5 - >NC_011595.7058890.p01|FEATURES|oprM|multidrug|oprM	superfamily	273830	14	460	2.66297e-67	222.672	cl36990	outer_NodT superfamily	 - 	 - 
Q#6 - >CAB63488|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	specific	293847	38	276	4.22983e-158	440.022	cd16289	L1_POM-1-like_MBL-B3	 - 	cl23716
Q#7 - >gi:485876646:ref:WP_001472885.1:|FEATURES|mdtM|multidrug|mdtM	specific	237958	1	410	0	735.865	PRK15403	PRK15403	 - 	cl30558
Q#8 - >gi:920058513:ref:WP_052940725.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	448	0	801.464	PRK09465	tolC	 - 	cl30340
Q#9 - >gi:505244441:ref:WP_015431543.1:|FEATURES|sul2|sulfonamide|sul2	specific	238380	78	333	5.80294e-99	292.974	cd00739	DHPS	 - 	cl00219
Q#10 - >gi:657632362:ref:WP_029442980.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	490	1.04027e-82	265.39	cl33905	Uup superfamily	 - 	 - 
Q#11 - >gi:686153944:ref:WP_031786248.1:|FEATURES|marR|multidrug|marR	specific	441451	1	140	8.0425e-30	105.437	COG1846	MarR	 - 	cl43541
Q#12 - >gi:817112355:ref:WP_046485582.1:|FEATURES|emrB|multidrug|emrB	specific	411083	4	502	0	998.464	NF000391	EmrB	 - 	cl41258
Q#13 - >YP_001478502|FEATURES|class_C|beta-lactam|class_C	superfamily	469545	1	378	0	670.717	cl49594	ampC_Sliq superfamily	 - 	 - 
Q#14 - >gi:896001511:ref:WP_049068193.1:|FEATURES|tetR|tetracycline|tetR	specific	440920	3	145	2.92227e-20	82.6388	COG1309	AcrR	 - 	cl43380
Q#15 - >gi:486164692:ref:WP_001528167.1:|FEATURES|class_C|beta-lactam|class_C	specific	236894	1	377	0	631.542	PRK11289	ampC	 - 	cl21491
