Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >gi:554954787:ref:WP_023200206.1:|FEATURES|mdtM|multidrug|mdtM	specific	237958	1	413	0	704.664	PRK15403	PRK15403	 - 	cl30558
Q#2 - >gi:920543935:ref:WP_052997557.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	specific	440747	1	576	0	696.528	COG1132	MdlB	 - 	cl34129
Q#3 - >gi:1011916769:ref:WP_062729166.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	665.707	PRK11578	PRK11578	 - 	cl32708
Q#4 - >gi:545299743:ref:WP_021579610.1:|FEATURES|mdtG|multidrug|mdtG	specific	182127	1	408	0	743.278	PRK09874	PRK09874	 - 	cl27912
Q#5 - >D16171.1.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	specific	172295	1	219	5.80719e-154	425.425	PRK13757	PRK13757	 - 	cl02008
Q#6 - >gi:836579579:ref:WP_047736966.1:|FEATURES|fosA|fosfomycin|fosA	specific	319908	5	128	2.84052e-76	222.158	cd07244	FosA	 - 	cl14632
Q#7 - >gi:1004356302:ref:WP_061531281.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	49	308	4.75203e-94	279.861	COG2367	PenP	 - 	cl28588
Q#8 - >KF481967.1.gene1.p01|FEATURES|SME-4|beta-lactam|SME-4	specific	441934	18	293	5.88651e-98	289.106	COG2367	PenP	 - 	cl28588
Q#9 - >gi:281335986:gb:ADA62550.1:|FEATURES|CTX-M-1|beta-lactam|CTX-M	specific	441934	16	291	1.89453e-89	267.149	COG2367	PenP	 - 	cl28588
Q#10 - >gi:1002550102:ref:WP_061393727.1:|FEATURES|fmtC|beta-lactam|fmtC	specific	468043	11	839	0	821.757	NF033480	bifunc_MprF	 - 	cl41273
Q#11 - >EF373969.1.gene1.p01|FEATURES|SHV-93|beta-lactam|SHV	specific	185339	1	284	0	560.241	PRK15442	PRK15442	 - 	cl21491
Q#12 - >AF024666.2.gene42.p01|FEATURES|aph(3')-I|aminoglycoside|aph(3')-I	specific	442463	12	271	1.45745e-120	344.976	COG3231	Aph	 - 	cl43814
Q#13 - >gi:919599980:ref:WP_052893708.1:|FEATURES|class_C|beta-lactam|class_C	specific	236894	1	377	0	629.23	PRK11289	ampC	 - 	cl21491
Q#14 - >gi:545231858:ref:WP_021531464.1:|FEATURES|arnA|polymyxin|arnA	specific	236156	1	660	0	1487.55	PRK08125	PRK08125	 - 	cl35644
Q#15 - >AAV74570|FEATURES|vanB|glycopeptide|vanB	specific	234993	1	341	4.36274e-130	374.842	PRK01966	ddl	 - 	cl35171
Q#16 - >gi:686100357:ref:WP_031756979.1:|FEATURES|mexD|multidrug|mexD	superfamily	481531	1	1038	0	1307.4	cl47191	ACR_tran superfamily	 - 	 - 
Q#17 - >gi:1028848469:ref:WP_064017432.1:|FEATURES|vanX|glycopeptide|vanX	specific	350616	3	201	2.95903e-113	320.979	cd14817	D-Ala-D-Ala_dipeptidase_VanX	 - 	cl38918
Q#18 - >FJ666067.1.gene1.p1|FEATURES|PDC-4|beta-lactam|PDC	specific	236894	4	388	0	646.179	PRK11289	ampC	 - 	cl21491
Q#19 - >gi:851923038:ref:WP_048218603.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	452	0	793.374	PRK09465	tolC	 - 	cl30340
Q#20 - >gi:446871990:ref:WP_000949246.1:|FEATURES|mexB|multidrug|mexB	superfamily	481531	2	1030	0	1247.31	cl47191	ACR_tran superfamily	 - 	 - 
Q#21 - >gi:353588837:gb:EHC47783.1:|FEATURES|mdtM|multidrug|mdtM	specific	237958	21	433	0	705.82	PRK15403	PRK15403	 - 	cl30558
Q#22 - >Q06893|FEATURES|vanB|glycopeptide|vanB	specific	234993	1	341	1.36087e-132	381.006	PRK01966	ddl	 - 	cl35171
Q#23 - >gi:489835426:ref:WP_003739146.1:|FEATURES|fosX|fosfomycin|fosX	specific	319952	2	131	4.63144e-86	246.802	cd08364	FosX	 - 	cl14632
Q#24 - >gi:1028098264:ref:WP_063854808.1:|FEATURES|qnrS|fluoroquinolone|qnrS	specific	440968	17	204	4.28942e-30	109.646	COG1357	YjbI	 - 	cl34238
Q#25 - >gi:526089053:ref:WP_020839449.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1300.47	PRK10535	PRK10535	 - 	cl32530
Q#26 - >EU419746.1.gene1.p01|FEATURES|VIM-16|beta-lactam|VIM	specific	293861	42	259	1.12699e-149	416.569	cd16303	VIM_type_MBL-B1	 - 	cl23716
Q#27 - >gi:638867629:ref:WP_024433165.1:|FEATURES|macA|MLS|macA	superfamily	183211	34	430	2.10295e-85	265.87	cl32708	PRK11578 superfamily	 - 	 - 
Q#28 - >GU015024.1.gene1.p01|FEATURES|IMI-3|beta-lactam|IMI	specific	441934	15	292	7.74821e-92	273.312	COG2367	PenP	 - 	cl28588
Q#29 - >gi:1044002084:emb:SBX40186.1:|FEATURES|mdfA|multidrug|mdfA	specific	185300	7	410	0	669.338	PRK15402	PRK15402	 - 	cl33139
Q#30 - >gi:377709710:gb:EHT33962.1:|FEATURES|fosB|fosfomycin|fosB	superfamily	472697	3	108	2.12023e-73	214.04	cl14632	VOC superfamily	N	 - 
Q#31 - >ZP_02573259|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1301.24	PRK10535	PRK10535	 - 	cl32530
Q#32 - >gi:1020083131:ref:WP_063219966.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	41	308	6.38431e-91	271.772	COG2367	PenP	 - 	cl28588
Q#33 - >ACD03314|FEATURES|catB|phenicol|catB	specific	100040	55	182	7.82425e-70	209.323	cd03349	LbH_XAT	 - 	cl00160
Q#34 - >gi:874442495:ref:WP_048656321.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	41	308	3.24131e-91	272.542	COG2367	PenP	 - 	cl28588
Q#35 - >gi:757781454:ref:WP_043000038.1:|FEATURES|arnA|polymyxin|arnA	specific	236156	1	660	0	1457.12	PRK08125	PRK08125	 - 	cl35644
Q#36 - >gi:567442721:ref:WP_024026170.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	451	0	777.966	PRK09465	tolC	 - 	cl30340
Q#37 - >gi:488963196:ref:WP_002874220.1:|FEATURES|macA|MLS|macA	specific	440606	36	389	1.18272e-81	252.942	COG0845	AcrA	 - 	cl34052
Q#38 - >gi:654665842:ref:WP_028126119.1:|FEATURES|mdtK|multidrug|mdtK	specific	234981	1	457	0	695.791	PRK01766	PRK01766	 - 	cl09326
Q#39 - >gi:504079558:ref:WP_014313552.1:|FEATURES|mefA|MLS|mefA	specific	162098	12	375	2.08753e-101	305.399	TIGR00900	2A0121	 - 	cl31440
Q#40 - >gi:493734654:ref:WP_006683876.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1337.83	PRK10535	PRK10535	 - 	cl32530
Q#41 - >gi:487690836:ref:WP_001775068.1:|FEATURES|mdtP|multidrug|mdtP	specific	182142	1	488	0	910.417	PRK09915	PRK09915	 - 	cl42914
Q#42 - >gi:1031630267:gb:ANG12333.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	607.235	PRK15442	PRK15442	 - 	cl21491
Q#43 - >ZP_04528247|FEATURES|bacA|bacitracin|bacA	specific	441571	4	277	1.22919e-104	305.043	COG1968	UppP	 - 	cl42187
Q#44 - >CAD20591|FEATURES|class_A|beta-lactam|class_A	specific	441934	14	287	2.54779e-93	277.164	COG2367	PenP	 - 	cl28588
Q#45 - >U85514.1.gene1.p01|FEATURES|OXA-18|beta-lactam|OXA	superfamily	442014	7	243	7.06161e-61	193.56	cl43695	YbxI superfamily	 - 	 - 
