Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >gi:839761818:gb:KMI34767.1:|FEATURES|emrB|multidrug|emrB	specific	411083	7	507	0	988.063	NF000391	EmrB	 - 	cl41258
Q#2 - >YP_894098|FEATURES|bacA|bacitracin|bacA	specific	234712	16	276	2.23537e-111	322.06	PRK00281	PRK00281	 - 	cl00858
Q#3 - >gi:691058615:ref:WP_032002719.1:|FEATURES|sul1|sulfonamide|sul1	specific	184303	2	279	0	520.797	PRK13753	PRK13753	 - 	cl00219
Q#4 - >gi:939342212:ref:WP_054888161.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	28	294	7.10917e-88	263.297	COG2367	PenP	 - 	cl28588
Q#5 - >gi:1002798395:gb:AMN85478.1:|FEATURES|vanD|glycopeptide|vanD	specific	234993	1	342	2.13074e-134	385.628	PRK01966	ddl	 - 	cl35171
Q#6 - >KC865667.1.gene1.p01|FEATURES|TEM-208|beta-lactam|TEM	specific	185339	3	286	0	607.621	PRK15442	PRK15442	 - 	cl21491
Q#7 - >AF031332.1.gene1.p1|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	specific	395465	14	132	4.22373e-19	77.1728	pfam00583	Acetyltransf_1	 - 	cl17182
Q#8 - >YP_002735988|FEATURES|mdtG|multidrug|mdtG	specific	340949	13	390	3.87322e-172	485.616	cd17391	MFS_MdtG_MDR_like	 - 	cl28910
Q#9 - >NC_008702.1.4608931.p01|FEATURES|oprM|multidrug|oprM	superfamily	273830	16	462	1.04181e-86	273.133	cl36990	outer_NodT superfamily	 - 	 - 
Q#10 - >YP_788911|FEATURES|opmD|multidrug|opmD	superfamily	273830	15	466	4.01671e-78	251.562	cl36990	outer_NodT superfamily	 - 	 - 
Q#11 - >L09756.gene.p01|FEATURES|tetS|tetracycline|tetS	specific	206731	5	241	3.01948e-131	385.051	cd04168	TetM_like	 - 	cl38936
Q#11 - >L09756.gene.p01|FEATURES|tetS|tetracycline|tetS	superfamily	481252	1	612	1.5558e-130	399.326	cl46912	PRK13351 superfamily	 - 	 - 
Q#12 - >AAN41433|FEATURES|dfrB1|diaminopyrimidine|dfrB1	specific	368910	20	97	4.47385e-56	167.53	pfam06442	DHFR_2	 - 	cl05774
Q#13 - >gi:738436812:ref:WP_036388061.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	29	290	1.12329e-85	257.904	COG2367	PenP	 - 	cl28588
Q#14 - >gi:881070913:ref:WP_048787524.1:|FEATURES|fosB|fosfomycin|fosB	specific	179740	1	139	2.02172e-90	258.338	PRK04101	PRK04101	 - 	cl14632
