Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >gi:1028104380:ref:WP_063859768.1:|FEATURES|class_C|beta-lactam|class_C	specific	236894	1	381	0	633.468	PRK11289	ampC	 - 	cl21491
Q#2 - >NC_002695.1.915747.p01|FEATURES|DNA-binding_transcriptional_regulator_gadX|unclassified|DNA-binding_transcriptional_regulator_gadX	specific	137624	1	274	0	531.038	PRK09978	PRK09978	 - 	cl31382
Q#3 - >gi:922960663:ref:WP_053388845.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1332.82	PRK10535	PRK10535	 - 	cl32530
Q#4 - >gi:446403118:ref:WP_000480973.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	specific	398368	10	256	4.51286e-130	368.859	pfam04655	APH_6_hur	 - 	cl21453
Q#5 - >ABN48512|FEATURES|OXA-2|beta-lactam|OXA	specific	442014	3	264	1.35071e-128	365.744	COG2602	YbxI	 - 	cl43695
Q#6 - >gi:857587401:emb:CRL58909.1:|FEATURES|mdtK|multidrug|mdtK	specific	234981	1	457	0	690.398	PRK01766	PRK01766	 - 	cl09326
Q#7 - >gi:912862495:ref:WP_050298167.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	22	290	2.45622e-89	267.149	COG2367	PenP	 - 	cl28588
Q#8 - >gi:959900591:ref:WP_058167554.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	specific	398368	10	256	1.26299e-129	367.703	pfam04655	APH_6_hur	 - 	cl21453
Q#9 - >AAY90134|FEATURES|class_C|beta-lactam|class_C	superfamily	469545	1	378	0	747.757	cl49594	ampC_Sliq superfamily	 - 	 - 
Q#10 - >gi:446533247:ref:WP_000610593.1:|FEATURES|mdtP|multidrug|mdtP	specific	182142	1	488	0	905.795	PRK09915	PRK09915	 - 	cl42914
Q#11 - >AAD42185|FEATURES|vanD|glycopeptide|vanD	specific	350616	3	199	4.99187e-109	310.194	cd14817	D-Ala-D-Ala_dipeptidase_VanX	 - 	cl38918
Q#12 - >gi:498115003:ref:WP_010429159.1:|FEATURES|macB|MLS|macB	specific	182528	1	646	0	1322.81	PRK10535	PRK10535	 - 	cl32530
Q#13 - >AF031331.1.gene1.p1|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	specific	395465	14	132	6.96106e-20	79.0988	pfam00583	Acetyltransf_1	 - 	cl17182
