Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >gi:727179994:ref:WP_033642668.1:|FEATURES|mdtG|multidrug|mdtG	superfamily	182127	1	399	0	652.756	cl27912	PRK09874 superfamily	 - 	 - 
Q#2 - >gi:970963221:ref:WP_058843899.1:|FEATURES|fosB|fosfomycin|fosB	specific	179740	3	140	5.20129e-92	262.575	PRK04101	PRK04101	 - 	cl14632
Q#3 - >CAP74085|FEATURES|catB|phenicol|catB	specific	100040	55	182	1.74879e-70	211.249	cd03349	LbH_XAT	 - 	cl00160
Q#4 - >gi:498524203:ref:WP_010823919.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	497	7.02966e-75	244.974	cl33905	Uup superfamily	 - 	 - 
Q#5 - >gi:829918628:ref:WP_047364272.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	732.246	PRK11646	PRK11646	 - 	cl27936
Q#6 - >gi:1004338333:ref:WP_061517049.1:|FEATURES|marR|multidrug|marR	specific	441451	22	151	6.67701e-23	87.7181	COG1846	MarR	 - 	cl43541
Q#7 - >AAA67509|FEATURES|tcmA|tetracenomycin_C|tcmA	specific	340879	31	452	1.28118e-81	259.028	cd17321	MFS_MMR_MDR_like	 - 	cl28910
Q#8 - >YP_002333396|FEATURES|vanX|glycopeptide|vanX	specific	350616	4	201	1.61436e-109	311.734	cd14817	D-Ala-D-Ala_dipeptidase_VanX	 - 	cl38918
Q#9 - >gi:754744113:ref:WP_042109760.1:|FEATURES|mexX|multidrug|mexX	superfamily	184990	1	384	0	518.115	cl33066	PRK15030 superfamily	 - 	 - 
Q#10 - >gi:640455126:ref:WP_024906491.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	451	0	791.448	PRK09465	tolC	 - 	cl30340
Q#11 - >gi:487404627:ref:WP_001672953.1:|FEATURES|arnA|polymyxin|arnA	specific	236156	1	660	0	1484.85	PRK08125	PRK08125	 - 	cl35644
Q#12 - >ACI02996|FEATURES|aac(3)-II|aminoglycoside|aac(3)-II	specific	442043	1	265	2.592e-106	309.053	COG2746	YokD	 - 	cl01051
Q#13 - >gi:446533202:ref:WP_000610548.1:|FEATURES|mdtP|multidrug|mdtP	specific	182142	1	488	0	910.417	PRK09915	PRK09915	 - 	cl42914
Q#14 - >gi:489818582:ref:WP_003722396.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	specific	440782	1	386	0	569.724	COG1168	MalY	 - 	cl30164
Q#15 - >gi:759812131:ref:WP_043509561.1:|FEATURES|mexA|multidrug|mexA	superfamily	184990	1	378	7.59731e-141	406.407	cl33066	PRK15030 superfamily	 - 	 - 
Q#16 - >gi:727744183:ref:WP_033859758.1:|FEATURES|mecI|beta-lactam|mecI	specific	427620	8	122	3.53474e-47	147.362	pfam03965	Penicillinase_R	 - 	cl42131
Q#17 - >CAA76069|FEATURES|tetH|tetracycline|tetH	specific	340946	12	388	2.01505e-180	506.788	cd17388	MFS_TetA	 - 	cl28910
Q#18 - >gi:686124522:ref:WP_031770011.1:|FEATURES|norA|multidrug|norA	specific	340883	8	375	1.90306e-72	230.926	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#19 - >gi:808074169:ref:WP_046235276.1:|FEATURES|mexF|multidrug|mexF	specific	395701	3	1038	0	1196.34	pfam00873	ACR_tran	 - 	cl47191
Q#20 - >ZP_02632675|FEATURES|tetA|tetracycline|tetA	specific	349949	11	361	2.59264e-17	82.8597	cd06174	MFS	 - 	cl28910
Q#21 - >gi:779866095:ref:WP_045354445.1:|FEATURES|macB|MLS|macB	specific	182528	1	646	0	1316.26	PRK10535	PRK10535	 - 	cl32530
Q#22 - >gi:447046956:ref:WP_001124212.1:|FEATURES|macA|MLS|macA	superfamily	183211	34	429	9.19568e-86	267.025	cl32708	PRK11578 superfamily	 - 	 - 
Q#23 - >gi:755009803:ref:WP_042363139.1:|FEATURES|marR|multidrug|marR	specific	441451	1	140	2.15074e-27	98.8889	COG1846	MarR	 - 	cl43541
Q#24 - >gi:692990270:ref:WP_032178668.1:|FEATURES|emrA|multidrug|emrA	specific	185090	1	390	0	769.245	PRK15136	PRK15136	 - 	cl46872
Q#25 - >gi:487397018:ref:WP_001667065.1:|FEATURES|mdtE|multidrug|mdtE	specific	137559	1	385	0	739.221	PRK09859	PRK09859	 - 	cl31380
Q#26 - >ZP_04187115|FEATURES|class_A|beta-lactam|class_A	specific	293862	49	249	4.56973e-116	331.171	cd16304	BcII-like_MBL-B1	 - 	cl23716
Q#27 - >gi:924026131:emb:CRX68731.1:|FEATURES|smeB|multidrug|smeB	superfamily	481531	1	1034	0	1324.74	cl47191	ACR_tran superfamily	 - 	 - 
Q#28 - >gi:796479248:ref:WP_045790630.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	specific	293864	29	249	2.42083e-165	455.947	cd16306	CphA_ImiS-like_MBL-B2	 - 	cl23716
Q#29 - >ZP_03930663|FEATURES|bacA|bacitracin|bacA	specific	441571	4	292	8.45548e-109	316.214	COG1968	UppP	 - 	cl42187
Q#30 - >AJ310778.1.gene12.p01|FEATURES|sul1|sulfonamide|sul1	superfamily	444759	2	149	8.40658e-96	277.736	cl00219	Pterin_binding superfamily	C	 - 
Q#31 - >gi:510836536:ref:WP_016208156.1:|FEATURES|mphB|MLS|mphB	specific	270701	9	285	7.8789e-149	418.186	cd05152	MPH2'	 - 	cl21453
Q#32 - >gi:749609302:ref:WP_040231863.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	674.952	PRK11578	PRK11578	 - 	cl32708
Q#33 - >gi:555249308:ref:WP_023232934.1:|FEATURES|macA|MLS|macA	specific	183211	4	371	0	651.84	PRK11578	PRK11578	 - 	cl32708
Q#34 - >gi:446993908:ref:WP_001071164.1:|FEATURES|fmtC|beta-lactam|fmtC	specific	468043	11	839	0	820.216	NF033480	bifunc_MprF	 - 	cl41273
Q#35 - >gi:447077009:ref:WP_001154265.1:|FEATURES|sdiA|unclassified|sdiA	specific	182292	1	240	2.21338e-176	483.904	PRK10188	PRK10188	 - 	cl32472
Q#36 - >gi:446669107:ref:WP_000746453.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	681.5	PRK11578	PRK11578	 - 	cl32708
Q#37 - >gi:446834442:ref:WP_000911698.1:|FEATURES|fosB|fosfomycin|fosB	superfamily	469426	1	138	2.2771e-99	280.941	cl49508	fosBx1_fam superfamily	 - 	 - 
Q#38 - >gi:505383854:ref:WP_015570956.1:|FEATURES|ompF|multidrug|ompF	specific	236639	1	352	0	582.613	PRK10002	PRK10002	 - 	cl21487
Q#39 - >gi:1031671043:gb:ANG31370.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	4	286	0	605.695	PRK15442	PRK15442	 - 	cl21491
Q#40 - >AM183304.1.gene1.p01|FEATURES|TEM-171|beta-lactam|TEM	specific	185339	3	286	0	606.85	PRK15442	PRK15442	 - 	cl21491
Q#41 - >NC_002695.1.914619.p01|FEATURES|acrB|multidrug|acrB	specific	185081	1	1049	0	2172.35	PRK15127	PRK15127	 - 	cl39118
Q#42 - >gi:896491778:ref:WP_049401445.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	specific	293847	38	276	1.01968e-162	451.577	cd16289	L1_POM-1-like_MBL-B3	 - 	cl23716
Q#43 - >gi:763097172:ref:WP_043977684.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	490	1.37756e-83	267.316	cl33905	Uup superfamily	 - 	 - 
Q#44 - >ZP_04577926|FEATURES|bacA|bacitracin|bacA	specific	234712	2	265	8.94822e-114	328.223	PRK00281	PRK00281	 - 	cl00858
Q#45 - >gi:766962841:ref:WP_044861296.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1350.93	PRK10535	PRK10535	 - 	cl32530
Q#46 - >gi:693095311:ref:WP_032252308.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	736.483	PRK11646	PRK11646	 - 	cl27936
Q#47 - >gi:1031640436:gb:ANG17183.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	606.85	PRK15442	PRK15442	 - 	cl21491
Q#48 - >gi:1031627039:gb:ANG10809.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	604.539	PRK15442	PRK15442	 - 	cl21491
Q#49 - >gi:447197874:ref:WP_001275130.1:|FEATURES|mdtO|multidrug|mdtO	specific	183131	1	683	0	1158.46	PRK11427	PRK11427	 - 	cl42009
Q#50 - >gi:446669117:ref:WP_000746463.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	679.189	PRK11578	PRK11578	 - 	cl32708
Q#51 - >gi:686225509:ref:WP_031824502.1:|FEATURES|marR|multidrug|marR	specific	441451	1	140	1.98077e-29	104.282	COG1846	MarR	 - 	cl43541
Q#52 - >gi:487399078:ref:WP_001668640.1:|FEATURES|mdtK|multidrug|mdtK	specific	234981	1	457	0	692.709	PRK01766	PRK01766	 - 	cl09326
Q#53 - >gi:852305442:ref:WP_048335898.1:|FEATURES|mdtK|multidrug|mdtK	specific	234981	1	457	0	707.347	PRK01766	PRK01766	 - 	cl09326
Q#54 - >AM051152.1.gene1.p01|FEATURES|OKP-B|beta-lactam|OKP-B	specific	185339	1	284	0	549.841	PRK15442	PRK15442	 - 	cl21491
Q#55 - >X78117.1.gene1.p01|FEATURES|class_C|beta-lactam|class_C	specific	236894	1	381	0	629.616	PRK11289	ampC	 - 	cl21491
Q#56 - >gi:487428290:ref:WP_001688037.1:|FEATURES|mdtF|multidrug|mdtF	superfamily	185081	1	1018	0	1669.67	cl39118	PRK15127 superfamily	 - 	 - 
Q#57 - >gi:979422229:ref:WP_059319814.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1351.7	PRK10535	PRK10535	 - 	cl32530
Q#58 - >gi:447055254:ref:WP_001132510.1:|FEATURES|acrB|multidrug|acrB	specific	185081	1	1048	0	2163.11	PRK15127	PRK15127	 - 	cl39118
Q#59 - >gi:815245096:emb:CDU53706.1:|FEATURES|TolC|multidrug|TolC	specific	236529	3	450	0	804.545	PRK09465	tolC	 - 	cl30340
Q#60 - >gi:488945956:ref:WP_002857031.1:|FEATURES|macA|MLS|macA	specific	440606	36	389	1.50095e-82	255.253	COG0845	AcrA	 - 	cl34052
Q#61 - >gi:691067173:ref:WP_032009467.1:|FEATURES|mexE|multidrug|mexE	specific	440606	51	375	3.4313e-109	323.819	COG0845	AcrA	 - 	cl34052
Q#62 - >gi:446590187:ref:WP_000667533.1:|FEATURES|mdtC|multidrug|mdtC	specific	182589	1	1025	0	2122.1	PRK10614	PRK10614	 - 	cl47191
Q#63 - >gi:746243059:ref:WP_039291473.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1260.02	PRK10535	PRK10535	 - 	cl32530
Q#64 - >gi:447077025:ref:WP_001154281.1:|FEATURES|sdiA|unclassified|sdiA	specific	182292	1	240	8.3362e-177	485.06	PRK10188	PRK10188	 - 	cl32472
Q#65 - >gi:912616597:ref:WP_050196613.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	733.017	PRK11646	PRK11646	 - 	cl27936
Q#66 - >gi:447111661:ref:WP_001188917.1:|FEATURES|mdtM|multidrug|mdtM	specific	237958	1	413	0	707.36	PRK15403	PRK15403	 - 	cl30558
Q#67 - >gi:798857528:ref:WP_045894155.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	717.223	PRK11646	PRK11646	 - 	cl27936
Q#68 - >gi:1027664803:ref:WP_063609470.1:|FEATURES|ant(4')-Ia|aminoglycoside|ant(4')-Ia	specific	285116	117	248	8.51455e-78	231.155	pfam07827	KNTase_C	 - 	cl06731
Q#68 - >gi:1027664803:ref:WP_063609470.1:|FEATURES|ant(4')-Ia|aminoglycoside|ant(4')-Ia	specific	441275	9	53	5.22775e-07	46.8314	COG1669	MJ0435	C	cl41953
Q#69 - >gi:585341406:ref:WP_024223032.1:|FEATURES|mdtE|multidrug|mdtE	specific	137559	1	385	0	739.221	PRK09859	PRK09859	 - 	cl31380
Q#70 - >gi:1039291348:ref:WP_064768701.1:|FEATURES|qepA|fluoroquinolone|qepA	superfamily	184957	18	497	1.59647e-64	217.288	cl33053	PRK14995 superfamily	 - 	 - 
Q#71 - >AJ871871.1.gene1.p01|FEATURES|OXY-5|beta-lactam|OXY	specific	441934	15	290	1.63503e-86	259.83	COG2367	PenP	 - 	cl28588
Q#72 - >U56415.1.orf0.gene.p01|FEATURES|rifampin_monooxygenase|rifamycin|rifampin_monooxygenase	superfamily	235870	3	476	7.08119e-145	423.661	cl35513	PRK06834 superfamily	 - 	 - 
Q#73 - >FJ919776.1.gene1.p01|FEATURES|TEM-168|beta-lactam|TEM	specific	185339	3	286	0	607.235	PRK15442	PRK15442	 - 	cl21491
Q#74 - >gi:950848224:ref:WP_057527010.1:|FEATURES|emrB|multidrug|emrB	specific	411083	4	502	0	986.908	NF000391	EmrB	 - 	cl41258
Q#75 - >gi:545170453:ref:WP_021524864.1:|FEATURES|mdtG|multidrug|mdtG	specific	182127	1	408	0	748.671	PRK09874	PRK09874	 - 	cl27912
Q#76 - >gi:488100125:ref:WP_002171522.1:|FEATURES|fosB|fosfomycin|fosB	superfamily	469426	1	138	7.14857e-98	277.089	cl49508	fosBx1_fam superfamily	 - 	 - 
Q#77 - >gi:749030947:ref:WP_040078663.1:|FEATURES|mphA|MLS|mphA	specific	270701	14	285	2.56753e-127	363.873	cd05152	MPH2'	 - 	cl21453
Q#78 - >EF374097.1.gene1.p01|FEATURES|CTX-M-56|beta-lactam|CTX-M	specific	441934	14	287	3.99306e-94	279.09	COG2367	PenP	 - 	cl28588
Q#79 - >gi:545285852:ref:WP_021568926.1:|FEATURES|mdtN|multidrug|mdtN	specific	182488	1	343	0	531.525	PRK10476	PRK10476	 - 	cl46872
Q#80 - >gi:486057056:ref:WP_001507824.1:|FEATURES|emrB|multidrug|emrB	specific	411083	4	502	0	997.693	NF000391	EmrB	 - 	cl41258
Q#81 - >gi:1027682493:ref:WP_063621367.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	727.239	PRK11646	PRK11646	 - 	cl27936
Q#82 - >gi:1016523559:ref:WP_063101806.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	451	0	778.737	PRK09465	tolC	 - 	cl30340
Q#83 - >X57972.1.gene1.p1|FEATURES|TEM-6|beta-lactam|TEM	specific	185339	3	286	0	606.08	PRK15442	PRK15442	 - 	cl21491
Q#84 - >gi:486338705:ref:WP_001586568.1:|FEATURES|mdtP|multidrug|mdtP	specific	182142	1	488	0	907.721	PRK09915	PRK09915	 - 	cl42914
Q#85 - >gi:649725735:gb:AIC64390.1:|FEATURES|CTX-M|beta-lactam|CTX-M	specific	441934	16	291	4.46436e-91	271.386	COG2367	PenP	 - 	cl28588
Q#86 - >gi:1020278005:ref:WP_063269009.1:|FEATURES|mdtN|multidrug|mdtN	specific	182488	1	343	0	524.591	PRK10476	PRK10476	 - 	cl46872
Q#87 - >EU418913.1.gene1.p01|FEATURES|SHV-109|beta-lactam|SHV	specific	185339	1	284	0	560.241	PRK15442	PRK15442	 - 	cl21491
