Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >AJ871866.1.gene1.p01|FEATURES|OXY-2|beta-lactam|OXY	specific	441934	22	290	1.73741e-90	269.846	COG2367	PenP	 - 	cl28588
Q#2 - >gi:630373415:gb:AHY97755.1:|FEATURES|mdtH|multidrug|mdtH	specific	340887	9	400	8.57382e-82	255.615	cd17329	MFS_MdtH_MDR_like	 - 	cl28910
Q#3 - >YP_274481|FEATURES|mexF|multidrug|mexF	specific	395701	3	1038	0	1191.72	pfam00873	ACR_tran	 - 	cl47191
Q#4 - >ZP_02405550|FEATURES|bpeF|multidrug|bpeF	specific	440603	1	1043	0	1185.67	COG0841	AcrB	 - 	cl34050
Q#5 - >CAC17149|FEATURES|class_C|beta-lactam|class_C	specific	236894	1	387	0	642.712	PRK11289	ampC	 - 	cl21491
Q#6 - >ACA35067|FEATURES|aph(3')-I|aminoglycoside|aph(3')-I	specific	442463	12	271	4.7309e-117	335.731	COG3231	Aph	 - 	cl43814
Q#7 - >AF336098.1.gene1.p01|FEATURES|omp36|multidrug|omp36	specific	182543	14	375	0	605.677	PRK10554	PRK10554	 - 	cl21487
Q#8 - >gi:447201648:ref:WP_001278904.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	specific	235662	7	196	1.93059e-125	351.381	PRK05986	PRK05986	 - 	cl38936
Q#9 - >gi:365748854:gb:AEW73081.1:|FEATURES|mdtG|multidrug|mdtG	superfamily	182127	46	449	0	676.253	cl27912	PRK09874 superfamily	 - 	 - 
Q#10 - >gi:488172572:ref:WP_002243780.1:|FEATURES|mtrE|multidrug|mtrE	superfamily	182103	6	458	1.58529e-107	326.83	cl32423	PRK09837 superfamily	 - 	 - 
Q#11 - >gi:763182672:ref:WP_044061609.1:|FEATURES|macB|MLS|macB	specific	182528	1	647	0	1350.93	PRK10535	PRK10535	 - 	cl32530
Q#12 - >gi:959855197:ref:WP_058138287.1:|FEATURES|tetR|tetracycline|tetR	superfamily	182177	2	204	7.68675e-37	127.932	cl32444	PRK09975 superfamily	 - 	 - 
Q#13 - >gi:555222481:ref:WP_023215070.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1300.08	PRK10535	PRK10535	 - 	cl32530
Q#14 - >gi:922244728:emb:CTY94634.1:|FEATURES|mdtA|multidrug|mdtA	specific	183194	41	455	0	809.017	PRK11556	PRK11556	 - 	cl32702
Q#15 - >gi:686437557:ref:WP_031923002.1:|FEATURES|norA|multidrug|norA	specific	340883	8	375	6.06665e-72	229.385	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#16 - >gi:445983950:ref:WP_000061805.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	490	2.48409e-87	277.331	cl33905	Uup superfamily	 - 	 - 
Q#17 - >gi:485656255:ref:WP_001300410.1:|FEATURES|emrA|multidrug|emrA	specific	185090	1	390	0	769.245	PRK15136	PRK15136	 - 	cl46872
Q#18 - >gi:851962897:ref:WP_048233629.1:|FEATURES|class_C|beta-lactam|class_C	superfamily	469545	1	378	0	587.899	cl49594	ampC_Sliq superfamily	 - 	 - 
Q#19 - >gi:691135181:ref:WP_032049540.1:|FEATURES|mexE|multidrug|mexE	specific	440606	51	375	2.70128e-109	324.204	COG0845	AcrA	 - 	cl34052
Q#20 - >NC_010558.1.6275958.p01|FEATURES|rmtB|aminoglycoside|rmtB	superfamily	473071	12	246	3.44878e-45	151.994	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#21 - >AY528425.1.gene1.p1|FEATURES|TEM-133|beta-lactam|TEM	specific	185339	3	286	0	604.539	PRK15442	PRK15442	 - 	cl21491
Q#22 - >gi:1031653780:gb:ANG23442.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	606.08	PRK15442	PRK15442	 - 	cl21491
Q#23 - >gi:585360557:ref:WP_024242152.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	451	0	776.426	PRK09465	tolC	 - 	cl30340
Q#24 - >gi:446783041:ref:WP_000860297.1:|FEATURES|arnA|polymyxin|arnA	specific	236156	1	660	0	1481.77	PRK08125	PRK08125	 - 	cl35644
Q#25 - >gi:510923351:ref:WP_016244136.1:|FEATURES|mdtN|multidrug|mdtN	specific	182488	1	343	0	531.14	PRK10476	PRK10476	 - 	cl46872
Q#26 - >AAY43207|FEATURES|GES-9|beta-lactam|GES	specific	441934	1	278	1.04705e-79	242.496	COG2367	PenP	 - 	cl28588
Q#27 - >gi:860352924:ref:WP_048394111.1:|FEATURES|fosB|fosfomycin|fosB	specific	179740	3	140	5.12433e-94	267.583	PRK04101	PRK04101	 - 	cl14632
Q#28 - >A1AHP3|FEATURES|mdtL|multidrug|mdtL	specific	182486	1	391	0	633.983	PRK10473	PRK10473	 - 	cl32519
Q#29 - >P22390|FEATURES|class_A|beta-lactam|class_A	specific	441934	25	294	4.97138e-91	271.386	COG2367	PenP	 - 	cl28588
Q#30 - >gi:545248523:ref:WP_021546864.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	736.483	PRK11646	PRK11646	 - 	cl27936
Q#31 - >gi:487974404:ref:WP_002047279.1:|FEATURES|tetR|tetracycline|tetR	specific	440920	3	145	3.2144e-21	84.95	COG1309	AcrR	 - 	cl43380
Q#32 - >gi:1031636934:gb:ANG15465.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	607.235	PRK15442	PRK15442	 - 	cl21491
Q#33 - >gi:730668970:ref:WP_034067203.1:|FEATURES|mexH|multidrug|mexH	specific	440606	38	342	3.75688e-70	222.126	COG0845	AcrA	 - 	cl34052
Q#34 - >gi:857586086:emb:CRL63207.1:|FEATURES|mdtB|multidrug|mdtB	specific	182501	1	1040	0	1929.12	PRK10503	PRK10503	 - 	cl39112
Q#35 - >YP_001747848|FEATURES|acrB|multidrug|acrB	specific	169983	1	1014	0	1953.87	PRK09579	PRK09579	 - 	cl39106
Q#36 - >gi:1046758755:gb:OCK71359.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	451	0	776.426	PRK09465	tolC	 - 	cl30340
Q#37 - >gi:912462288:ref:WP_050164976.1:|FEATURES|macA|MLS|macA	specific	440606	37	371	2.02331e-80	249.86	COG0845	AcrA	 - 	cl34052
Q#38 - >gi:919791854:ref:WP_052896466.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1352.85	PRK10535	PRK10535	 - 	cl32530
Q#39 - >gi:949718947:ref:WP_057063453.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1335.13	PRK10535	PRK10535	 - 	cl32530
Q#40 - >gi:447097715:ref:WP_001174971.1:|FEATURES|mdtK|multidrug|mdtK	specific	234981	1	457	0	694.635	PRK01766	PRK01766	 - 	cl09326
Q#41 - >gi:1005557615:ref:WP_061654778.1:|FEATURES|fosB|fosfomycin|fosB	superfamily	469426	1	138	1.10989e-101	286.719	cl49508	fosBx1_fam superfamily	 - 	 - 
Q#42 - >gi:504388417:ref:WP_014575519.1:|FEATURES|mtrE|multidrug|mtrE	superfamily	182103	6	458	4.43306e-108	327.986	cl32423	PRK09837 superfamily	 - 	 - 
Q#43 - >ZP_04233366|FEATURES|fosB|fosfomycin|fosB	superfamily	469426	17	154	8.58232e-98	277.474	cl49508	fosBx1_fam superfamily	 - 	 - 
Q#44 - >AM051142.1.gene1.p01|FEATURES|OKP-A|beta-lactam|OKP-A	specific	185339	1	284	0	540.211	PRK15442	PRK15442	 - 	cl21491
