Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >gi:1031672558:gb:ANG32125.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	606.08	PRK15442	PRK15442	 - 	cl21491
Q#2 - >AJ239002.1.gene1.p01|FEATURES|TEM-68|beta-lactam|TEM	specific	185339	3	286	0	601.843	PRK15442	PRK15442	 - 	cl21491
Q#3 - >gi:782700886:ref:WP_045611431.1:|FEATURES|macB|MLS|macB	specific	182528	1	646	0	1286.6	PRK10535	PRK10535	 - 	cl32530
Q#4 - >AY487229.1.gene4.p01|FEATURES|erm(39)|MLS|erm(39)	specific	439801	5	244	2.13453e-71	219.226	COG0030	RsmA	 - 	cl42997
Q#5 - >ABO60998|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	superfamily	451500	37	275	2.37305e-156	435.399	cl23716	metallo-hydrolase-like_MBL-fold superfamily	 - 	 - 
Q#6 - >gi:1015908358:ref:WP_062876326.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	735.713	PRK11646	PRK11646	 - 	cl27936
Q#7 - >ABO60988|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	superfamily	451500	39	276	8.06185e-156	434.244	cl23716	metallo-hydrolase-like_MBL-fold superfamily	 - 	 - 
Q#8 - >gi:445983923:ref:WP_000061778.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	490	3.2461e-86	274.25	cl33905	Uup superfamily	 - 	 - 
Q#9 - >gi:693158925:ref:WP_032294786.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1351.7	PRK10535	PRK10535	 - 	cl32530
Q#10 - >gi:446533231:ref:WP_000610577.1:|FEATURES|mdtP|multidrug|mdtP	specific	182142	1	488	0	906.565	PRK09915	PRK09915	 - 	cl42914
Q#11 - >gi:504656419:ref:WP_014843521.1:|FEATURES|TolC|multidrug|TolC	superfamily	357216	1	438	7.93659e-113	339.224	cl30340	tolC superfamily	 - 	 - 
Q#12 - >HQ998857.1.gene1.p01|FEATURES|OXA-203|beta-lactam|OXA	specific	442014	4	274	6.00214e-110	318.365	COG2602	YbxI	 - 	cl43695
Q#13 - >gi:487372611:ref:WP_001646232.1:|FEATURES|mdtM|multidrug|mdtM	specific	237958	1	410	0	726.62	PRK15403	PRK15403	 - 	cl30558
Q#14 - >gi:1031659054:gb:ANG25658.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	606.08	PRK15442	PRK15442	 - 	cl21491
Q#15 - >CP001918.1.gene2596.p01|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	729.55	PRK11646	PRK11646	 - 	cl27936
Q#16 - >gi:814942660:ref:WP_046391446.1:|FEATURES|mefA|MLS|mefA	specific	162098	11	374	8.78936e-111	329.281	TIGR00900	2A0121	 - 	cl31440
Q#17 - >gi:755819877:ref:WP_042584907.1:|FEATURES|mexE|multidrug|mexE	specific	440606	50	375	1.36692e-98	296.855	COG0845	AcrA	 - 	cl34052
Q#18 - >Q7W866|FEATURES|bacA|bacitracin|bacA	specific	234712	8	286	2.66554e-110	319.749	PRK00281	PRK00281	 - 	cl00858
Q#19 - >gi:545247736:ref:WP_021546171.1:|FEATURES|mdtE|multidrug|mdtE	specific	137559	1	385	0	740.761	PRK09859	PRK09859	 - 	cl31380
Q#20 - >gi:754720792:ref:WP_042093782.1:|FEATURES|class_C|beta-lactam|class_C	specific	236894	1	377	0	630.386	PRK11289	ampC	 - 	cl21491
Q#21 - >Y11068.1.gene1.p01|FEATURES|FOX-3|beta-lactam|FOX	specific	236894	23	381	0	598.8	PRK11289	ampC	 - 	cl21491
Q#22 - >gi:914237668:ref:WP_050552977.1:|FEATURES|marR|multidrug|marR	specific	441451	22	135	1.94495e-20	82.3253	COG1846	MarR	 - 	cl43541
Q#23 - >AF313472.2.gene15.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	specific	442463	4	265	2.76285e-103	300.678	COG3231	Aph	 - 	cl43814
Q#24 - >gi:742671409:ref:WP_038977101.1:|FEATURES|floR|phenicol|floR	superfamily	475125	10	381	2.13104e-77	244.601	cl28910	MFS superfamily	 - 	 - 
Q#25 - >CAF05908|FEATURES|GIM-1|beta-lactam|GIM-1	specific	293859	22	236	9.37195e-135	378.163	cd16301	IMP_DIM-like_MBL-B1	 - 	cl23716
Q#26 - >gi:545298014:ref:WP_021578218.1:|FEATURES|mdtN|multidrug|mdtN	specific	182488	1	343	0	531.91	PRK10476	PRK10476	 - 	cl46872
Q#27 - >YP_001573360|FEATURES|TolC|multidrug|TolC	specific	236529	3	452	0	809.168	PRK09465	tolC	 - 	cl30340
Q#28 - >ABB70056|FEATURES|tetM|tetracycline|tetM	specific	206731	5	241	1.51827e-139	406.237	cd04168	TetM_like	 - 	cl38936
Q#28 - >ABB70056|FEATURES|tetM|tetracycline|tetM	superfamily	481252	1	610	1.81122e-117	365.428	cl46912	PRK13351 superfamily	 - 	 - 
Q#29 - >gi:928835335:ref:WP_053891143.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	734.557	PRK11646	PRK11646	 - 	cl27936
