Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >AFR46589.1|FEATURES|QnrB58|fluoroquinolone|QnrB58	superfamily	439496	21	225	4.1469e-102	294.674	cl45666	penta_rpt_SmQnr superfamily	 - 	 - 
Q#2 - >YP_004928104.1|FEATURES|CrpP|fluoroquinolone|CrpP	specific	411289	8	65	5.75327e-36	114.72	NF033696	CrpP_fam	 - 	cl41388
Q#3 - >EEX02086.1|FEATURES|ANT(3'')-IIa|aminoglycoside|ANT(3'')-IIa	superfamily	184296	6	255	2.38388e-67	209.496	cl32927	PRK13746 superfamily	 - 	 - 
Q#4 - >CAD09823.1|FEATURES|tetR|tetracycline|tetR	specific	172294	2	206	1.50355e-140	390.792	PRK13756	PRK13756	 - 	cl31640
Q#5 - >AAC69328.1|FEATURES|Erm(30)|MLS|Erm(30)	specific	439801	17	260	8.48444e-68	213.448	COG0030	RsmA	 - 	cl42997
Q#6 - >AJO16042.1|FEATURES|SHV-182|beta-lactam|SHV	specific	185339	1	284	0	563.708	PRK15442	PRK15442	 - 	cl21491
Q#7 - >YP_007652797.1|FEATURES|BRP(MBL)|glycopeptide|BRP(MBL)	specific	319938	3	119	7.89014e-64	189.411	cd08350	BLMT_like	 - 	cl14632
Q#8 - >AIT76099.1|FEATURES|CMY-114|beta-lactam|CMX	specific	236894	1	381	0	636.934	PRK11289	ampC	 - 	cl21491
Q#9 - >AHE41344.1|FEATURES|QnrS7|fluoroquinolone|QnrS7	specific	440968	17	204	6.80219e-30	108.875	COG1357	YjbI	 - 	cl34238
Q#10 - >AJO16038.1|FEATURES|OXA-366|beta-lactam|OXA	specific	442014	1	273	2.90174e-107	311.431	COG2602	YbxI	 - 	cl43695
Q#11 - >AIT76104.1|FEATURES|MIR-15|beta-lactam|MIR	superfamily	480360	1	381	0	660.698	cl46020	ampC_Kaer superfamily	 - 	 - 
Q#12 - >AIL92326.1|FEATURES|CARB-17|beta-lactam|CARB	superfamily	473882	24	280	3.84946e-85	256.319	cl21491	Transpeptidase superfamily	 - 	 - 
Q#13 - >BAJ10053.1|FEATURES|FosC2|fosfomycin|FosC2	specific	319908	4	122	1.69015e-69	204.438	cd07244	FosA	 - 	cl14632
Q#14 - >AFK08541.1|FEATURES|CMY-67|beta-lactam|CMX	specific	236894	1	381	0	635.779	PRK11289	ampC	 - 	cl21491
