Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >AAV74562|FEATURES|vanB|glycopeptide|vanB	specific	234993	1	341	1.57349e-130	375.998	PRK01966	ddl	 - 	cl35171
Q#2 - >gi:485731880:ref:WP_001359514.1:|FEATURES|acrB|multidrug|acrB	superfamily	481531	2	979	0	1397.16	cl47191	ACR_tran superfamily	 - 	 - 
Q#3 - >AAZ91706|FEATURES|ereA|MLS|ereA	specific	350610	27	396	7.73766e-60	198.385	cd14728	Ere-like	 - 	cl38917
Q#4 - >AF472622.2.gene1.p01|FEATURES|CfxA2|beta-lactam|CfxA2	specific	441934	35	314	2.6989e-51	170.849	COG2367	PenP	 - 	cl28588
Q#5 - >KF057031.1.gene1.p01|FEATURES|OXA-314|beta-lactam|OXA	specific	442014	4	274	5.76336e-112	323.372	COG2602	YbxI	 - 	cl43695
Q#6 - >YP_098534|FEATURES|class_A|beta-lactam|class_A	specific	441934	10	296	1.54713e-69	216.688	COG2367	PenP	 - 	cl28588
Q#7 - >gi:486180651:ref:WP_001537811.1:|FEATURES|arnA|polymyxin|arnA	specific	236156	1	660	0	1489.09	PRK08125	PRK08125	 - 	cl35644
Q#8 - >YP_001445425|FEATURES|mdtK|multidrug|mdtK	specific	234981	1	454	0	665.745	PRK01766	PRK01766	 - 	cl09326
Q#9 - >gi:912948577:ref:WP_050318352.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	22	294	7.18922e-88	263.682	COG2367	PenP	 - 	cl28588
Q#10 - >gi:686186000:ref:WP_031802532.1:|FEATURES|mexH|multidrug|mexH	specific	440606	48	357	5.39941e-72	227.134	COG0845	AcrA	 - 	cl34052
Q#11 - >gi:1032821315:ref:WP_064327449.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	448	0	799.538	PRK09465	tolC	 - 	cl30340
Q#12 - >gi:896179326:ref:WP_049191975.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	450	0	788.367	PRK09465	tolC	 - 	cl30340
Q#13 - >gi:490992519:ref:WP_004854252.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	445	0	761.788	PRK09465	tolC	 - 	cl30340
Q#14 - >gi:974688082:ref:WP_059271287.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1318.95	PRK10535	PRK10535	 - 	cl32530
Q#15 - >gi:693226657:ref:WP_032340852.1:|FEATURES|sdiA|unclassified|sdiA	specific	182292	1	240	1.79689e-176	484.289	PRK10188	PRK10188	 - 	cl32472
Q#16 - >gi:446964071:ref:WP_001041327.1:|FEATURES|norA|multidrug|norA	specific	340883	8	375	1.69975e-71	228.229	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#17 - >gi:649725899:gb:AIC64472.1:|FEATURES|CTX-M|beta-lactam|CTX-M	specific	441934	16	291	7.61457e-91	271.001	COG2367	PenP	 - 	cl28588
Q#18 - >gi:1005596165:ref:WP_061684055.1:|FEATURES|norA|multidrug|norA	specific	340883	8	375	6.63944e-71	226.689	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#19 - >gi:486408016:ref:WP_001609182.1:|FEATURES|arnA|polymyxin|arnA	specific	236156	1	660	0	1475.6	PRK08125	PRK08125	 - 	cl35644
Q#20 - >gi:545277588:ref:WP_021564835.1:|FEATURES|mdtM|multidrug|mdtM	specific	237958	1	410	0	736.25	PRK15403	PRK15403	 - 	cl30558
Q#21 - >gi:851981364:ref:WP_048240713.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	673.026	PRK11578	PRK11578	 - 	cl32708
Q#22 - >gi:445983937:ref:WP_000061792.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	490	2.22388e-83	266.931	cl33905	Uup superfamily	 - 	 - 
Q#23 - >gi:696416155:ref:WP_032986438.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	451	0	784.9	PRK09465	tolC	 - 	cl30340
Q#24 - >gi:921965197:ref:WP_053258987.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	713.757	PRK11646	PRK11646	 - 	cl27936
Q#25 - >gi:737454728:ref:WP_035434889.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	490	5.53154e-86	273.864	cl33905	Uup superfamily	 - 	 - 
Q#26 - >gi:494883168:ref:WP_007609218.1:|FEATURES|lmrB|MLS|lmrB	superfamily	411077	1	478	0	711.024	cl41253	MFS_efflux_LmrB superfamily	 - 	 - 
Q#27 - >gi:780033092:ref:WP_045444768.1:|FEATURES|macB|MLS|macB	specific	182528	1	648	0	1337.06	PRK10535	PRK10535	 - 	cl32530
Q#28 - >gi:1039567692:ref:WP_064895059.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	35	290	1.28618e-84	255.208	COG2367	PenP	 - 	cl28588
Q#29 - >gi:746342345:ref:WP_039387389.1:|FEATURES|mepA|multidrug|mepA	superfamily	411080	1	443	0	692.096	cl41255	MATE_multi_FepA superfamily	 - 	 - 
Q#30 - >gi:1015898921:ref:WP_062870706.1:|FEATURES|class_C|beta-lactam|class_C	specific	236894	1	376	0	586.088	PRK11289	ampC	 - 	cl21491
Q#31 - >gi:489264356:ref:WP_003172186.1:|FEATURES|fosB|fosfomycin|fosB	superfamily	472697	5	121	2.64341e-79	229.448	cl14632	VOC superfamily	 - 	 - 
Q#32 - >gi:555241931:ref:WP_023226456.1:|FEATURES|emrB|multidrug|emrB	specific	411083	4	502	0	986.523	NF000391	EmrB	 - 	cl41258
Q#33 - >ACL81266|FEATURES|ermC|MLS|ermC	specific	128898	19	180	7.14895e-72	216.993	smart00650	rADc	 - 	cl17173
Q#34 - >gi:447097695:ref:WP_001174951.1:|FEATURES|mdtK|multidrug|mdtK	specific	234981	1	457	0	694.635	PRK01766	PRK01766	 - 	cl09326
Q#35 - >ACM47287|FEATURES|vanD|glycopeptide|vanD	specific	234993	1	342	4.87159e-129	372.146	PRK01966	ddl	 - 	cl35171
Q#36 - >gi:779814692:ref:WP_045334477.1:|FEATURES|TolC|multidrug|TolC	specific	236529	1	448	0	794.915	PRK09465	tolC	 - 	cl30340
Q#37 - >AF155139.2.gene8.p01|FEATURES|vanX|glycopeptide|vanX	specific	350616	3	201	1.02411e-109	312.89	cd14817	D-Ala-D-Ala_dipeptidase_VanX	 - 	cl38918
Q#38 - >gi:1031627007:gb:ANG10795.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	605.695	PRK15442	PRK15442	 - 	cl21491
Q#39 - >gi:488405003:ref:WP_002474388.1:|FEATURES|norA|multidrug|norA	specific	340883	8	375	6.38587e-66	213.977	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#40 - >gi:983382061:ref:WP_060559330.1:|FEATURES|mdtH|multidrug|mdtH	specific	183255	1	400	0	717.609	PRK11646	PRK11646	 - 	cl27936
Q#41 - >gi:486204199:ref:WP_001551384.1:|FEATURES|arnA|polymyxin|arnA	specific	236156	1	660	0	1489.47	PRK08125	PRK08125	 - 	cl35644
Q#42 - >gi:779948451:ref:WP_045396263.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	626.802	PRK11578	PRK11578	 - 	cl32708
Q#43 - >B7N5M0|FEATURES|arnA|polymyxin|arnA	specific	236156	1	660	0	1492.94	PRK08125	PRK08125	 - 	cl35644
Q#44 - >gi:759360203:ref:WP_043089708.1:|FEATURES|mexA|multidrug|mexA	superfamily	184990	4	378	2.14101e-140	405.252	cl33066	PRK15030 superfamily	 - 	 - 
Q#45 - >CAB61645|FEATURES|FONA-6|beta-lactam|FONA-6	specific	441934	26	295	2.08275e-88	264.838	COG2367	PenP	 - 	cl28588
