Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >gi:920548117:ref:WP_052998687.1:|FEATURES|class_C|beta-lactam|class_C	specific	236894	1	377	0	628.075	PRK11289	ampC	 - 	cl21491
Q#2 - >gi:446601676:ref:WP_000679022.1:|FEATURES|mdtA|multidrug|mdtA	specific	183194	1	415	0	790.912	PRK11556	PRK11556	 - 	cl32702
Q#3 - >gi:1031636975:gb:ANG15485.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	604.539	PRK15442	PRK15442	 - 	cl21491
Q#4 - >gi:558693259:ref:WP_023522676.1:|FEATURES|lsa|MLS|lsa	superfamily	440254	6	490	3.70636e-83	266.546	cl33905	Uup superfamily	 - 	 - 
Q#5 - >gi:649725717:gb:AIC64381.1:|FEATURES|CTX-M|beta-lactam|CTX-M	specific	441934	16	291	5.12549e-90	268.69	COG2367	PenP	 - 	cl28588
Q#6 - >gi:507020463:ref:WP_016092575.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	93	348	6.61607e-91	273.312	COG2367	PenP	 - 	cl28588
Q#7 - >YP_002633428|FEATURES|bacA|bacitracin|bacA	specific	234712	13	288	1.14445e-95	283.155	PRK00281	PRK00281	 - 	cl00858
Q#8 - >gi:447046958:ref:WP_001124214.1:|FEATURES|macA|MLS|macA	superfamily	183211	34	429	1.0023e-85	267.025	cl32708	PRK11578 superfamily	 - 	 - 
Q#9 - >NC_011586.7045444.p01|FEATURES|adeJ|multidrug|adeJ	specific	273335	1	1049	0	1582.44	TIGR00915	2A0602	 - 	cl47191
Q#10 - >gi:990930490:emb:CWV83521.1:|FEATURES|mdtH|multidrug|mdtH	specific	340887	9	400	1.14662e-81	255.615	cd17329	MFS_MdtH_MDR_like	 - 	cl28910
Q#11 - >gi:1031661007:gb:ANG26493.1:|FEATURES|TEM-1|beta-lactam|TEM	specific	185339	3	286	0	603.383	PRK15442	PRK15442	 - 	cl21491
Q#12 - >gi:827043802:ref:WP_047182932.1:|FEATURES|aadK|aminoglycoside|aadK	specific	461311	2	279	2.77121e-158	441.607	pfam04439	Adenyl_transf	 - 	cl04520
Q#13 - >gi:926345639:ref:WP_053677539.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	specific	440747	22	599	0	645.682	COG1132	MdlB	 - 	cl34129
Q#14 - >gi:488883030:ref:WP_002795255.1:|FEATURES|cmeB|multidrug|cmeB	specific	440603	1	1031	0	1149.85	COG0841	AcrB	 - 	cl34050
Q#15 - >gi:325145096:gb:EGC67379.1:|FEATURES|mtrE|multidrug|mtrE	superfamily	182103	22	474	1.06092e-107	327.6	cl32423	PRK09837 superfamily	 - 	 - 
Q#16 - >gi:446669104:ref:WP_000746450.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	681.115	PRK11578	PRK11578	 - 	cl32708
Q#17 - >gi:545156412:ref:WP_021511564.1:|FEATURES|mexE|multidrug|mexE	specific	440606	51	375	2.37084e-109	324.204	COG0845	AcrA	 - 	cl34052
Q#18 - >gi:490068104:ref:WP_003970282.1:|FEATURES|mdtM|multidrug|mdtM	specific	237958	1	410	0	740.102	PRK15403	PRK15403	 - 	cl30558
Q#19 - >gi:959876551:ref:WP_058152050.1:|FEATURES|mexH|multidrug|mexH	specific	440606	48	357	3.71482e-71	225.208	COG0845	AcrA	 - 	cl34052
Q#20 - >AB104852.1.gene2.p01|FEATURES|IMP-1|beta-lactam|IMP	specific	293859	23	234	1.81112e-128	361.984	cd16301	IMP_DIM-like_MBL-B1	 - 	cl23716
Q#21 - >gi:910771266:ref:WP_050078031.1:|FEATURES|class_A|beta-lactam|class_A	specific	441934	22	290	7.50698e-88	263.297	COG2367	PenP	 - 	cl28588
Q#22 - >gi:686157080:ref:WP_031788612.1:|FEATURES|mepA|multidrug|mepA	specific	240548	13	435	3.4894e-101	308.67	cd13143	MATE_MepA_like	 - 	cl09326
Q#23 - >gi:916024899:ref:WP_050950121.1:|FEATURES|sdiA|unclassified|sdiA	specific	182292	1	240	0	503.549	PRK10188	PRK10188	 - 	cl32472
Q#24 - >gi:782756348:ref:WP_045630015.1:|FEATURES|macB|MLS|macB	specific	182528	1	646	0	1324.73	PRK10535	PRK10535	 - 	cl32530
Q#25 - >gi:693114136:ref:WP_032265097.1:|FEATURES|macA|MLS|macA	specific	183211	1	370	0	681.115	PRK11578	PRK11578	 - 	cl32708
Q#26 - >JX262694.1.gene1.p01|FEATURES|NDM-7|beta-lactam|NDM	specific	293858	49	267	3.26811e-125	354.896	cd16300	NDM_FIM-like_MBL-B1	 - 	cl23716
Q#27 - >AM850916.2.gene1.p01|FEATURES|OKP-A|beta-lactam|OKP-A	specific	185339	1	284	0	542.907	PRK15442	PRK15442	 - 	cl21491
Q#28 - >gi:345394503:gb:EGX24263.1:|FEATURES|tetC|tetracycline|tetC	superfamily	439388	1	130	1.04285e-61	187.577	cl40576	Tn10_TetC superfamily	C	 - 
